comp_id,location_id,car_class,pickup_date,obs_date,comp_min_price,days_until_pickup
112,7,compact,2024-04-27,2024-04-23,63.33,4
113,15,economy,2024-05-05,2024-04-25,48.83,10
114,14,suv,2024-05-16,2024-04-25,100.48,21
115,13,compact,2024-05-07,2024-04-27,75.87,10
116,12,suv,2024-04-30,2024-04-28,100.23,2
117,14,luxury,2024-05-03,2024-04-30,201.91,3
118,16,suv,2024-06-06,2024-04-30,98.65,37
119,22,luxury,2024-05-03,2024-05-01,207.12,2
120,21,compact,2024-05-09,2024-05-01,74.17,8
121,21,suv,2024-05-22,2024-05-02,129.68,20
122,11,economy,2024-05-05,2024-05-02,64.03,3
123,19,economy,2024-05-25,2024-05-03,75.7,22
124,15,luxury,2024-05-07,2024-05-03,218.5,4
125,18,suv,2024-05-18,2024-05-06,90.81,12
126,21,compact,2024-05-17,2024-05-08,66.32,9
127,24,compact,2024-05-27,2024-05-08,88.5,19
128,7,economy,2024-05-23,2024-05-09,72.38,14
129,22,compact,2024-05-14,2024-05-09,85.87,5
130,1,compact,2024-05-19,2024-05-10,68.58,9
131,15,luxury,2024-05-31,2024-05-11,142.16,20
132,1,luxury,2024-05-28,2024-05-11,228.83,17
133,23,luxury,2024-05-18,2024-05-12,172.2,6
134,16,suv,2024-06-12,2024-05-13,122.44,30
135,17,luxury,2024-05-30,2024-05-15,178.39,15
136,20,luxury,2024-05-28,2024-05-15,157.18,13
137,13,luxury,2024-06-04,2024-05-16,244.68,19
138,20,economy,2024-06-17,2024-05-16,55.03,32
139,3,economy,2024-06-03,2024-05-17,67.2,17
140,1,luxury,2024-06-15,2024-05-18,216.56,28
141,17,compact,2024-05-21,2024-05-18,114.86,3
142,24,compact,2024-05-27,2024-05-19,86.48,8
143,19,luxury,2024-06-14,2024-05-21,163.68,24
144,2,suv,2024-06-02,2024-05-22,82.49,11
145,2,compact,2024-06-08,2024-05-22,65.44,17
146,7,economy,2024-06-11,2024-05-23,72.13,19
147,19,suv,2024-06-04,2024-05-23,110.67,12
148,5,compact,2024-06-14,2024-05-25,78.44,20
149,6,suv,2024-06-18,2024-05-25,121.3,24
150,14,luxury,2024-06-12,2024-05-27,198.43,16
151,8,luxury,2024-06-10,2024-05-29,178.02,12
152,7,suv,2024-06-07,2024-05-29,109.59,9
153,20,economy,2024-06-12,2024-05-30,71.08,13
154,22,luxury,2024-06-07,2024-06-01,197.62,6
155,19,compact,2024-06-07,2024-06-01,80.34,6
156,13,luxury,2024-06-23,2024-06-01,194.57,22
157,15,luxury,2024-06-29,2024-06-01,151.15,28
158,9,luxury,2024-06-08,2024-06-01,168.2,7
159,24,compact,2024-06-05,2024-06-02,98.55,3
160,20,compact,2024-06-06,2024-06-02,101.42,4
161,17,compact,2024-06-17,2024-06-03,82.71,14
162,8,compact,2024-06-21,2024-06-06,72.67,15
163,4,suv,2024-06-29,2024-06-07,103.86,22
164,10,compact,2024-06-21,2024-06-07,60.74,14
165,4,economy,2024-06-27,2024-06-08,59.02,19
166,17,compact,2024-06-28,2024-06-09,86.38,19
167,24,luxury,2024-06-15,2024-06-09,161.91,6
168,2,luxury,2024-07-05,2024-06-11,248.47,24
169,11,economy,2024-06-29,2024-06-11,53.04,18
170,2,compact,2024-06-21,2024-06-13,75.18,8
171,20,luxury,2024-06-28,2024-06-14,159.39,14
172,5,economy,2024-07-11,2024-06-15,71.56,26
173,17,suv,2024-06-20,2024-06-17,174.03,3
174,23,luxury,2024-07-12,2024-06-18,196.32,24
175,24,suv,2024-07-12,2024-06-20,112.75,22
176,23,economy,2024-07-04,2024-06-22,106.24,12
177,7,economy,2024-06-28,2024-06-22,66.56,6
178,19,compact,2024-06-25,2024-06-22,94.14,3
179,20,economy,2024-07-11,2024-06-23,70.83,18
180,1,luxury,2024-07-04,2024-06-25,318.65,9
181,8,economy,2024-07-05,2024-06-25,82.74,10
182,20,economy,2024-07-11,2024-06-27,76.18,14
183,15,economy,2024-07-03,2024-06-29,122.4,4
184,10,compact,2024-07-02,2024-06-29,109.25,3
185,3,economy,2024-07-08,2024-06-29,66.21,9
186,3,luxury,2024-07-12,2024-07-02,158.33,10
187,16,compact,2024-07-22,2024-07-02,83.46,20
188,8,suv,2024-08-02,2024-07-03,108.41,30
189,16,luxury,2024-07-18,2024-07-05,173.19,13
190,6,compact,2024-07-27,2024-07-07,71.98,20
191,9,economy,2024-07-17,2024-07-08,90.68,9
192,13,luxury,2024-07-14,2024-07-08,213.98,6
193,12,economy,2024-07-10,2024-07-08,78.94,2
194,11,economy,2024-07-13,2024-07-09,71.52,4
195,7,compact,2024-08-05,2024-07-09,81.48,27
196,15,suv,2024-07-13,2024-07-09,121.21,4
197,18,suv,2024-07-14,2024-07-10,102.12,4
198,16,compact,2024-07-20,2024-07-10,65.96,10
199,17,compact,2024-07-24,2024-07-13,84.27,11
200,8,suv,2024-07-22,2024-07-14,109.34,8
201,8,luxury,2024-07-20,2024-07-15,215.45,5
202,24,economy,2024-07-18,2024-07-15,86.39,3
203,18,suv,2024-07-18,2024-07-16,145.28,2
204,1,compact,2024-08-11,2024-07-18,81.16,24
205,12,compact,2024-07-23,2024-07-20,94.17,3
206,23,suv,2024-08-01,2024-07-22,103.48,10
207,21,economy,2024-08-26,2024-07-23,69.36,34
208,16,suv,2024-08-21,2024-07-23,97.28,29
209,13,compact,2024-07-27,2024-07-23,94.48,4
210,17,economy,2024-08-02,2024-07-26,74.37,7
211,20,suv,2024-08-18,2024-07-28,89.28,21
212,14,compact,2024-08-10,2024-07-28,65.0,13
213,9,suv,2024-08-10,2024-07-31,124.55,10
214,20,suv,2024-08-25,2024-08-01,83.92,24
215,20,luxury,2024-09-20,2024-08-02,143.8,49
216,7,economy,2024-08-08,2024-08-02,72.16,6
217,17,economy,2024-09-07,2024-08-02,56.87,36
218,4,luxury,2024-08-14,2024-08-04,197.62,10
219,23,luxury,2024-08-19,2024-08-04,156.07,15
220,7,compact,2024-08-05,2024-08-04,101.61,1
221,12,luxury,2024-08-12,2024-08-06,237.79,6
222,17,economy,2024-08-18,2024-08-06,59.72,12
223,10,luxury,2024-08-26,2024-08-06,181.31,20
224,4,compact,2024-08-12,2024-08-07,94.17,5
225,12,suv,2024-08-09,2024-08-08,116.77,1
226,14,luxury,2024-08-27,2024-08-08,173.37,19
227,14,economy,2024-08-21,2024-08-12,70.75,9
228,5,compact,2024-09-17,2024-08-14,71.85,34
229,19,suv,2024-08-29,2024-08-16,103.76,13
230,22,luxury,2024-08-30,2024-08-17,210.42,13
231,15,luxury,2024-08-19,2024-08-17,239.4,2
232,24,luxury,2024-09-24,2024-08-20,163.18,35
233,22,luxury,2024-08-26,2024-08-22,205.32,4
234,20,suv,2024-09-28,2024-08-22,88.37,37
235,10,economy,2024-09-02,2024-08-24,60.9,9
236,9,suv,2024-08-29,2024-08-24,181.72,5
237,18,suv,2024-09-23,2024-08-24,86.5,30
238,18,compact,2024-09-02,2024-08-24,87.5,9
239,3,compact,2024-09-08,2024-08-25,57.86,14
240,20,suv,2024-09-05,2024-08-25,89.12,11
241,5,economy,2024-08-27,2024-08-25,87.8,2
242,9,luxury,2024-09-13,2024-08-27,157.67,17
243,13,economy,2024-09-20,2024-08-28,64.03,23
244,18,suv,2024-09-03,2024-08-28,131.25,6
245,2,compact,2024-09-03,2024-08-29,95.31,5
246,20,compact,2024-09-15,2024-08-30,51.5,16
247,18,suv,2024-09-25,2024-08-30,91.8,26
248,3,compact,2024-09-20,2024-08-31,54.15,20
249,17,luxury,2024-09-10,2024-08-31,191.13,10
250,4,compact,2024-09-22,2024-08-31,50.67,22
251,7,luxury,2024-09-04,2024-08-31,195.85,4
252,8,economy,2024-09-11,2024-09-01,49.91,10
253,21,luxury,2024-09-14,2024-09-03,148.18,11
254,4,compact,2024-09-15,2024-09-05,54.06,10
255,1,suv,2024-10-01,2024-09-05,109.14,26
256,12,suv,2024-10-01,2024-09-06,87.06,25
257,9,compact,2024-09-20,2024-09-09,74.4,11
258,12,suv,2024-09-29,2024-09-09,78.95,20
259,6,luxury,2024-09-12,2024-09-09,205.86,3
260,24,compact,2024-09-28,2024-09-09,52.8,19
261,24,luxury,2024-09-17,2024-09-10,144.59,7
262,19,suv,2024-09-21,2024-09-10,89.03,11
263,12,compact,2024-09-26,2024-09-10,64.55,16
264,21,compact,2024-09-15,2024-09-11,82.04,4
265,21,compact,2024-09-30,2024-09-11,76.23,19
266,21,luxury,2024-10-08,2024-09-13,162.28,25
267,14,compact,2024-10-04,2024-09-15,50.67,19
268,22,compact,2024-10-06,2024-09-15,41.67,21
269,11,compact,2024-10-04,2024-09-15,55.77,19
270,2,compact,2024-10-04,2024-09-16,53.0,18
271,8,economy,2024-09-25,2024-09-17,59.1,8
272,16,luxury,2024-09-27,2024-09-18,138.28,9
273,11,luxury,2024-10-09,2024-09-19,129.97,20
274,17,compact,2024-10-16,2024-09-20,69.2,26
275,4,compact,2024-10-11,2024-09-21,51.86,20
276,14,compact,2024-10-11,2024-09-21,53.05,20
277,23,luxury,2024-10-14,2024-09-23,137.58,21
278,20,luxury,2024-10-13,2024-09-23,107.39,20
279,16,economy,2024-10-08,2024-09-24,48.7,14
280,10,luxury,2024-10-16,2024-09-24,123.16,22
281,7,compact,2024-10-07,2024-09-24,54.23,13
282,5,economy,2024-10-09,2024-09-25,53.81,14
283,2,compact,2024-10-09,2024-09-25,60.31,14
284,8,suv,2024-10-07,2024-09-26,67.09,11
285,24,economy,2024-10-03,2024-09-26,47.37,7
286,9,compact,2024-10-18,2024-09-27,75.41,21
287,16,suv,2024-10-18,2024-09-28,85.29,20
288,24,compact,2024-10-24,2024-09-28,51.26,26
289,6,compact,2024-10-23,2024-09-30,62.76,23
290,1,compact,2024-10-12,2024-09-30,55.61,12
291,7,compact,2024-11-02,2024-10-01,41.63,32
292,1,suv,2024-10-03,2024-10-02,129.54,1
293,24,luxury,2024-10-21,2024-10-03,118.72,18
294,20,suv,2024-10-20,2024-10-03,74.4,17
295,3,suv,2024-10-14,2024-10-04,73.9,10
296,11,compact,2024-10-21,2024-10-05,50.51,16
297,12,compact,2024-11-07,2024-10-08,58.51,30
298,9,economy,2024-10-12,2024-10-09,59.09,3
299,23,suv,2024-10-23,2024-10-09,76.21,14
300,21,luxury,2024-10-22,2024-10-10,175.52,12
301,20,compact,2024-10-29,2024-10-12,52.73,17
302,13,luxury,2024-11-07,2024-10-12,169.63,26
303,4,luxury,2024-11-04,2024-10-13,136.43,22
304,5,compact,2024-10-31,2024-10-13,60.39,18
305,16,luxury,2024-10-21,2024-10-14,134.43,7
306,15,suv,2024-10-24,2024-10-15,88.85,9
307,8,suv,2024-10-24,2024-10-16,91.0,8
308,2,economy,2024-11-06,2024-10-16,46.55,21
309,5,economy,2024-10-21,2024-10-17,63.39,4
310,12,suv,2024-10-27,2024-10-17,71.08,10
311,23,economy,2024-10-25,2024-10-18,44.57,7
312,15,luxury,2024-10-26,2024-10-19,127.05,7
313,16,compact,2024-10-26,2024-10-21,54.67,5
314,13,economy,2024-10-29,2024-10-22,54.3,7
315,11,luxury,2024-12-01,2024-10-24,141.43,38
316,4,luxury,2024-11-11,2024-10-24,111.24,18
317,23,compact,2024-11-25,2024-10-25,56.02,31
318,17,suv,2024-10-29,2024-10-25,117.29,4
319,9,compact,2024-11-13,2024-10-26,61.48,18
320,5,compact,2024-11-08,2024-11-01,57.1,7
321,10,compact,2024-11-23,2024-11-02,69.33,21
322,14,suv,2024-11-10,2024-11-02,68.05,8
323,3,economy,2024-11-25,2024-11-05,52.38,20
324,3,luxury,2024-12-03,2024-11-07,176.88,26
325,13,luxury,2024-11-19,2024-11-09,166.76,10
326,10,compact,2024-12-04,2024-11-12,66.42,22
327,15,suv,2024-11-16,2024-11-13,83.95,3
328,22,compact,2024-11-15,2024-11-14,60.89,1
329,15,luxury,2024-11-26,2024-11-16,142.3,10
330,9,suv,2024-12-05,2024-11-17,124.7,18
331,22,compact,2024-12-09,2024-11-17,55.43,22
332,1,suv,2024-12-12,2024-11-21,106.72,21
333,10,luxury,2024-12-16,2024-11-22,170.31,24
334,3,suv,2024-11-29,2024-11-24,90.2,5
335,4,economy,2024-12-15,2024-11-24,47.75,21
336,15,compact,2024-11-26,2024-11-24,80.85,2
337,16,economy,2024-12-14,2024-11-25,49.68,19
338,20,economy,2024-12-05,2024-11-25,55.75,10
339,10,compact,2024-12-07,2024-11-29,45.96,8
340,6,economy,2024-12-26,2024-11-30,76.52,26
341,21,economy,2024-12-21,2024-11-30,61.62,21
342,5,compact,2024-12-07,2024-12-01,75.73,6
343,16,compact,2024-12-15,2024-12-02,50.98,13
344,7,compact,2024-12-09,2024-12-02,59.89,7
345,5,luxury,2024-12-11,2024-12-07,213.78,4
346,9,suv,2024-12-20,2024-12-10,118.51,10
347,6,economy,2024-12-15,2024-12-11,60.83,4
348,20,economy,2024-12-17,2024-12-12,71.33,5
349,3,suv,2024-12-29,2024-12-15,110.67,14
350,11,economy,2024-12-20,2024-12-15,69.18,5
351,14,suv,2024-12-29,2024-12-16,101.58,13
352,3,suv,2024-12-22,2024-12-18,116.72,4
353,18,compact,2025-01-13,2024-12-18,43.37,26
354,16,compact,2024-12-30,2024-12-20,94.26,10
355,8,economy,2024-12-26,2024-12-21,97.22,5
356,12,luxury,2025-01-09,2024-12-22,108.71,18
357,18,luxury,2025-01-08,2024-12-22,118.4,17
358,12,compact,2025-01-02,2024-12-23,74.95,10
359,6,economy,2024-12-28,2024-12-24,70.93,4
360,18,suv,2025-01-11,2024-12-26,55.71,16
361,1,suv,2025-01-12,2024-12-26,60.8,17
362,22,economy,2025-01-23,2024-12-26,42.53,28
363,5,suv,2025-01-12,2024-12-27,83.93,16
364,2,compact,2025-01-02,2024-12-27,70.68,6
365,10,luxury,2025-01-07,2024-12-30,107.82,8
366,13,compact,2025-01-01,2024-12-31,121.45,1
